Empresa,Nicho,Site,WhatsApp,Instagram,Google_Maps,Status,Notas,Link_WhatsApp
Eco Solar,Empresas de Energia Solar,https://www.ecosolar-pa.com.br/,091991594769,Não encontrado,"https://www.google.com.br/maps/place/Eco+Solar/@-3.0069756,-47.3951283,14z/data=!4m10!1m2!2m1!1sEmpresas+de+Energia+Solar+em+Paragominas,+PA!3m6!1s0x92b76700a563b881:0x20e2a54b23263db9!8m2!3d-3.0069756!4d-47.3570195!15sCixFbXByZXNhcyBkZSBFbmVyZ2lhIFNvbGFyIGVtIFBhcmFnb21pbmFzLCBQQVotIitlbXByZXNhcyBkZSBlbmVyZ2lhIHNvbGFyIGVtIHBhcmFnb21pbmFzIHBhkgEUc29sYXJfZW5lcmd5X2NvbXBhbnmaASRDaGREU1VoTk1HOW5TMFZKUTBGblRVTkpkMlV6V21kQlJSQULgAQD6AQQIFxBA!16s%2Fg%2F11m74w2809?entry=ttu&g_ep=EgoyMDI2MDIwMS4wIKXMDSoASAFQAw%3D%3D",Pendente,OPORTUNIDADE: Sem Instagram,https://wa.me/55091991594769
Mind Engenharia,Empresas de Energia Solar,https://lojalocal.com/parceirocredenciadointelbras/52440887000132,091983045742,Não encontrado,"https://www.google.com.br/maps/place/Mind+Engenharia/@-3.0069756,-47.3951283,14z/data=!4m10!1m2!2m1!1sEmpresas+de+Energia+Solar+em+Paragominas,+PA!3m6!1s0x92b767be4f33cf37:0x28d8233780fca2ae!8m2!3d-2.9962443!4d-47.351455!15sCixFbXByZXNhcyBkZSBFbmVyZ2lhIFNvbGFyIGVtIFBhcmFnb21pbmFzLCBQQVotIitlbXByZXNhcyBkZSBlbmVyZ2lhIHNvbGFyIGVtIHBhcmFnb21pbmFzIHBhkgEUc29sYXJfZW5lcmd5X2NvbXBhbnmaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTklkbDlEYW1aM0VBReABAPoBBAgAECU!16s%2Fg%2F11vyxqq6gy?entry=ttu&g_ep=EgoyMDI2MDIwMS4wIKXMDSoASAFQAw%3D%3D",Pendente,OPORTUNIDADE: Sem Instagram,https://wa.me/55091983045742
SetteSol | Energia Solar Paragominas,Empresas de Energia Solar,https://www.ecosolar-pa.com.br/,091986441322,Não encontrado,"https://www.google.com.br/maps/place/SetteSol+%7C+Energia+Solar+Paragominas/@-3.0069756,-47.3951283,14z/data=!4m10!1m2!2m1!1sEmpresas+de+Energia+Solar+em+Paragominas,+PA!3m6!1s0x92b767786ca79283:0xf306c51691033ed5!8m2!3d-2.9922971!4d-47.3563332!15sCixFbXByZXNhcyBkZSBFbmVyZ2lhIFNvbGFyIGVtIFBhcmFnb21pbmFzLCBQQVotIitlbXByZXNhcyBkZSBlbmVyZ2lhIHNvbGFyIGVtIHBhcmFnb21pbmFzIHBhkgEfc29sYXJfZW5lcmd5X2VxdWlwbWVudF9zdXBwbGllcpoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQydEdlVmRITkRGTVdGazBWbXBhYTFKRmNEQmpWbEl3V2xSQ2NXSkdSUkFC4AEA-gEECAAQDA!16s%2Fg%2F11vf148d9p?entry=ttu&g_ep=EgoyMDI2MDIwMS4wIKXMDSoASAFQAw%3D%3D",Pendente,OPORTUNIDADE: Sem Instagram,https://wa.me/55091986441322
Brit Energy Paragominas,Empresas de Energia Solar,https://www.ecosolar-pa.com.br/,091988166256,Não encontrado,"https://www.google.com.br/maps/place/Brit+Energy+Paragominas/@-3.0069756,-47.3951283,14z/data=!4m10!1m2!2m1!1sEmpresas+de+Energia+Solar+em+Paragominas,+PA!3m6!1s0x92b75dc6f082fac1:0x19eb8a5dad57bf09!8m2!3d-2.9921547!4d-47.3554578!15sCixFbXByZXNhcyBkZSBFbmVyZ2lhIFNvbGFyIGVtIFBhcmFnb21pbmFzLCBQQZIBH3NvbGFyX2VuZXJneV9lcXVpcG1lbnRfc3VwcGxpZXLgAQA!16s%2Fg%2F11lfldhv75?entry=ttu&g_ep=EgoyMDI2MDIwMS4wIKXMDSoASAFQAw%3D%3D",Pendente,OPORTUNIDADE: Sem Instagram,https://wa.me/55091988166256
Norte Sol - Energia Solar,Empresas de Energia Solar,https://www.nortesolenergiasolarpa.com.br/,091991950630,Não encontrado,"https://www.google.com.br/maps/place/Norte+Sol+-+Energia+Solar/@-3.0069756,-47.3951283,14z/data=!4m10!1m2!2m1!1sEmpresas+de+Energia+Solar+em+Paragominas,+PA!3m6!1s0x92b75ded3470d825:0x77384917693b10f7!8m2!3d-2.993969!4d-47.3546141!15sCixFbXByZXNhcyBkZSBFbmVyZ2lhIFNvbGFyIGVtIFBhcmFnb21pbmFzLCBQQZIBH3NvbGFyX2VuZXJneV9lcXVpcG1lbnRfc3VwcGxpZXLgAQA!16s%2Fg%2F11kb183296?entry=ttu&g_ep=EgoyMDI2MDIwMS4wIKXMDSoASAFQAw%3D%3D",Pendente,OPORTUNIDADE: Sem Instagram,https://wa.me/55091991950630
Bônus Solar,Empresas de Energia Solar,https://meulink.com.vc/bonus-solar/,091981497309,Não encontrado,"https://www.google.com.br/maps/place/B%C3%B4nus+Solar/@-3.0069756,-47.3951283,14z/data=!4m10!1m2!2m1!1sEmpresas+de+Energia+Solar+em+Paragominas,+PA!3m6!1s0x92b767c7211a7eab:0x9a51ed94a9ecee4f!8m2!3d-2.9921058!4d-47.3571906!15sCixFbXByZXNhcyBkZSBFbmVyZ2lhIFNvbGFyIGVtIFBhcmFnb21pbmFzLCBQQZIBH3NvbGFyX2VuZXJneV9lcXVpcG1lbnRfc3VwcGxpZXLgAQA!16s%2Fg%2F11s8hsp2x4?entry=ttu&g_ep=EgoyMDI2MDIwMS4wIKXMDSoASAFQAw%3D%3D",Pendente,OPORTUNIDADE: Sem Instagram,https://wa.me/55091981497309
FERREIRASOLAR - Eficiência Energética,Empresas de Energia Solar,https://www.ecosolar-pa.com.br/,091993320948,Não encontrado,"https://www.google.com.br/maps/place/FERREIRASOLAR+-+Efici%C3%AAncia+Energ%C3%A9tica/@-3.0069756,-47.3951283,14z/data=!4m10!1m2!2m1!1sEmpresas+de+Energia+Solar+em+Paragominas,+PA!3m6!1s0x92b7675ec5645be5:0x347368d9f0e00699!8m2!3d-3.0017796!4d-47.363313!15sCixFbXByZXNhcyBkZSBFbmVyZ2lhIFNvbGFyIGVtIFBhcmFnb21pbmFzLCBQQZIBH3NvbGFyX2VuZXJneV9lcXVpcG1lbnRfc3VwcGxpZXLgAQA!16s%2Fg%2F11j0w6f37h?entry=ttu&g_ep=EgoyMDI2MDIwMS4wIKXMDSoASAFQAw%3D%3D",Pendente,OPORTUNIDADE: Sem Instagram,https://wa.me/55091993320948
ALTERNATIVA SOLAR,Empresas de Energia Solar,https://www.ecosolar-pa.com.br/,091991704931,Não encontrado,"https://www.google.com.br/maps/place/ALTERNATIVA+SOLAR/@-2.9824558,-47.4175712,14z/data=!4m10!1m2!2m1!1sEmpresas+de+Energia+Solar+em+Paragominas,+PA!3m6!1s0x92b75f00394abf4b:0x26ce7ce96eedd66b!8m2!3d-2.9824558!4d-47.3794624!15sCixFbXByZXNhcyBkZSBFbmVyZ2lhIFNvbGFyIGVtIFBhcmFnb21pbmFzLCBQQVotIitlbXByZXNhcyBkZSBlbmVyZ2lhIHNvbGFyIGVtIHBhcmFnb21pbmFzIHBhkgEUc29sYXJfZW5lcmd5X2NvbXBhbnmaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnBvU0dWdFdUSmpNbWhyVGtac2IyRnFVa2hhYlU1NllqSldUbFZzUlJBQuABAPoBBAgAEBE!16s%2Fg%2F11vpyxxc3q?entry=ttu&g_ep=EgoyMDI2MDIwMS4wIKXMDSoASAFQAw%3D%3D",Pendente,OPORTUNIDADE: Sem Instagram,https://wa.me/55091991704931
SegEnergy Paragominas - Energia Solar,Empresas de Energia Solar,https://www.ecosolar-pa.com.br/,(91) 99159-4769,Não encontrado,"https://www.google.com.br/maps/place/SegEnergy+Paragominas+-+Energia+Solar/@-2.9922971,-47.394442,14z/data=!4m10!1m2!2m1!1sEmpresas+de+Energia+Solar+em+Paragominas,+PA!3m6!1s0x92b75d1da4cf5639:0x8dfdf9a5a0839d37!8m2!3d-2.9922971!4d-47.3563332!15sCixFbXByZXNhcyBkZSBFbmVyZ2lhIFNvbGFyIGVtIFBhcmFnb21pbmFzLCBQQZIBH3NvbGFyX2VuZXJneV9lcXVpcG1lbnRfc3VwcGxpZXLgAQA!16s%2Fg%2F11k4x4xy9z?entry=ttu&g_ep=EgoyMDI2MDIwMS4wIKXMDSoASAFQAw%3D%3D",Pendente,OPORTUNIDADE: Sem Instagram,https://wa.me/5591991594769
Segline Solar,Empresas de Energia Solar,https://www.seglinesolar.com.br/,091992626875,Não encontrado,"https://www.google.com.br/maps/place/Segline+Solar/@-2.9922971,-47.394442,14z/data=!4m10!1m2!2m1!1sEmpresas+de+Energia+Solar+em+Paragominas,+PA!3m6!1s0x92b767cd9182dca9:0x30bd9a110d07c5f!8m2!3d-2.9921342!4d-47.3553939!15sCixFbXByZXNhcyBkZSBFbmVyZ2lhIFNvbGFyIGVtIFBhcmFnb21pbmFzLCBQQVotIitlbXByZXNhcyBkZSBlbmVyZ2lhIHNvbGFyIGVtIHBhcmFnb21pbmFzIHBhkgEUc29sYXJfZW5lcmd5X2NvbXBhbnmaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnNhMWxmYlRSblJSQULgAQD6AQQIORA4!16s%2Fg%2F11j02bx7tx?entry=ttu&g_ep=EgoyMDI2MDIwMS4wIKXMDSoASAFQAw%3D%3D",Pendente,OPORTUNIDADE: Sem Instagram,https://wa.me/55091992626875
